Unnamed: 0,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
16032024,1,130858,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
17032024,1,130858,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,1,1,0,Problem-solving,1
18032024,1,130858,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,1,1,0,Writing coding effectively,1
19032024,1,130858,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,1,1,0,Interaction with algorithm,1
20032024,1,130858,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
21032024,1,133091,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
22032024,1,133091,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
23032024,1,133091,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
24032024,1,133091,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
25032024,1,133091,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
26032024,1,133311,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
27032024,1,133311,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
28032024,1,133311,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
29032024,1,133311,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
30032024,1,133311,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
31032024,1,133438,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
32032024,1,133438,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,1,1,0,Problem-solving,1
33032024,1,133438,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
34032024,1,133438,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
35032024,1,133438,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
36032024,1,134658,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
37032024,1,134658,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,1,1,0,Problem-solving,1
38032024,1,134658,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
39032024,1,134658,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
40032024,1,134658,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
41032024,1,136450,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
42032024,1,136450,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
