student_code,user_id,skill_name,correct,absence_rate,AI_detection ,start_time,submit time,delivery_hours,class_Activities
16032024,130858,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.84,2024-02-25 22:24:00,2024-02-27 21:24:00,47.0,0.05
17032024,130858,Problem-solving,0,0.033,0.84,2024-02-25 22:24:00,2024-02-27 21:24:00,47.0,0.05
18032024,130858,Writing coding effectively,0,0.033,0.84,2024-02-25 22:24:00,2024-02-27 21:24:00,47.0,0.05
19032024,130858,Interaction with algorithm,0,0.033,0.84,2024-02-25 22:24:00,2024-02-27 21:24:00,47.0,0.05
20032024,130858,Mapping code using a flowchart and pseudocode,0,0.033,0.84,2024-02-25 22:24:00,2024-02-27 21:24:00,47.0,0.05
21032024,133091,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.25,2024-02-25 22:24:00,2024-02-27 21:09:00,46.75,0.15
22032024,133091,Problem-solving,1,0.0,0.25,2024-02-25 22:24:00,2024-02-27 21:09:00,46.75,0.15
23032024,133091,Writing coding effectively,1,0.0,0.25,2024-02-25 22:24:00,2024-02-27 21:09:00,46.75,0.15
24032024,133091,Interaction with algorithm,1,0.0,0.25,2024-02-25 22:24:00,2024-02-27 21:09:00,46.75,0.15
25032024,133091,Mapping code using a flowchart and pseudocode,1,0.0,0.25,2024-02-25 22:24:00,2024-02-27 21:09:00,46.75,0.15
26032024,133311,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.22,2024-02-25 22:24:00,2024-02-27 18:43:00,44.31,0.05
27032024,133311,Problem-solving,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 18:43:00,44.31,0.05
28032024,133311,Writing coding effectively,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 18:43:00,44.31,0.05
29032024,133311,Interaction with algorithm,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 18:43:00,44.31,0.05
30032024,133311,Mapping code using a flowchart and pseudocode,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 18:43:00,44.31,0.05
31032024,133438,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.15,2024-02-25 22:24:00,2024-02-28 20:12:00,69.8,0.15
32032024,133438,Problem-solving,0,0.0,0.15,2024-02-25 22:24:00,2024-02-28 20:12:00,69.8,0.15
33032024,133438,Writing coding effectively,1,0.0,0.15,2024-02-25 22:24:00,2024-02-28 20:12:00,69.8,0.15
34032024,133438,Interaction with algorithm,1,0.0,0.15,2024-02-25 22:24:00,2024-02-28 20:12:00,69.8,0.15
35032024,133438,Mapping code using a flowchart and pseudocode,1,0.0,0.15,2024-02-25 22:24:00,2024-02-28 20:12:00,69.8,0.15
36032024,134658,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.22,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05,0.05
37032024,134658,Problem-solving,0,0.033,0.22,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05,0.05
38032024,134658,Writing coding effectively,1,0.033,0.22,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05,0.05
39032024,134658,Interaction with algorithm,1,0.033,0.22,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05,0.05
40032024,134658,Mapping code using a flowchart and pseudocode,1,0.033,0.22,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05,0.05
41032024,136353,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.82,2024-02-25 22:24:00,2024-02-27 19:14:00,44.83,0.05
42032024,136353,Problem-solving,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 19:14:00,44.83,0.05
43032024,136353,Writing coding effectively,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 19:14:00,44.83,0.05
44032024,136353,Interaction with algorithm,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 19:14:00,44.83,0.05
45032024,136353,Mapping code using a flowchart and pseudocode,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 19:14:00,44.83,0.05
46032024,136450,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.22,2024-02-25 22:24:00,2024-02-27 21:56:00,47.53,0.05
47032024,136450,Problem-solving,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 21:56:00,47.53,0.05
48032024,136450,Writing coding effectively,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 21:56:00,47.53,0.05
49032024,136450,Interaction with algorithm,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 21:56:00,47.53,0.05
