student_code,Student_id,Skill,Corrects,absence_rate,AI detection ,start_time,submit time,delivery_hours
16032024,130858,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.84,2024-02-25 22:24:00,2024-02-27 21:24:00,47.0
17032024,130858,Problem-solving,0,0.033,0.84,2024-02-25 22:24:00,2024-02-27 21:24:00,47.0
18032024,130858,Writing coding effectively,0,0.033,0.84,2024-02-25 22:24:00,2024-02-27 21:24:00,47.0
19032024,130858,Interaction with algorithm,0,0.033,0.84,2024-02-25 22:24:00,2024-02-27 21:24:00,47.0
20032024,130858,Mapping code using a flowchart and pseudocode,0,0.033,0.84,2024-02-25 22:24:00,2024-02-27 21:24:00,47.0
21032024,133091,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.25,2024-02-25 22:24:00,2024-02-27 21:09:00,46.75
22032024,133091,Problem-solving,1,0.0,0.25,2024-02-25 22:24:00,2024-02-27 21:09:00,46.75
23032024,133091,Writing coding effectively,1,0.0,0.25,2024-02-25 22:24:00,2024-02-27 21:09:00,46.75
24032024,133091,Interaction with algorithm,1,0.0,0.25,2024-02-25 22:24:00,2024-02-27 21:09:00,46.75
25032024,133091,Mapping code using a flowchart and pseudocode,1,0.0,0.25,2024-02-25 22:24:00,2024-02-27 21:09:00,46.75
26032024,133311,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.22,2024-02-25 22:24:00,2024-02-27 18:43:00,44.31
27032024,133311,Problem-solving,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 18:43:00,44.31
28032024,133311,Writing coding effectively,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 18:43:00,44.31
29032024,133311,Interaction with algorithm,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 18:43:00,44.31
30032024,133311,Mapping code using a flowchart and pseudocode,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 18:43:00,44.31
31032024,133438,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.15,2024-02-25 22:24:00,2024-02-28 20:12:00,69.8
32032024,133438,Problem-solving,0,0.0,0.15,2024-02-25 22:24:00,2024-02-28 20:12:00,69.8
33032024,133438,Writing coding effectively,1,0.0,0.15,2024-02-25 22:24:00,2024-02-28 20:12:00,69.8
34032024,133438,Interaction with algorithm,1,0.0,0.15,2024-02-25 22:24:00,2024-02-28 20:12:00,69.8
35032024,133438,Mapping code using a flowchart and pseudocode,1,0.0,0.15,2024-02-25 22:24:00,2024-02-28 20:12:00,69.8
36032024,134658,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.22,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05
37032024,134658,Problem-solving,0,0.033,0.22,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05
38032024,134658,Writing coding effectively,1,0.033,0.22,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05
39032024,134658,Interaction with algorithm,1,0.033,0.22,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05
40032024,134658,Mapping code using a flowchart and pseudocode,1,0.033,0.22,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05
41032024,136353,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.82,2024-02-25 22:24:00,2024-02-27 19:14:00,44.83
42032024,136353,Problem-solving,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 19:14:00,44.83
43032024,136353,Writing coding effectively,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 19:14:00,44.83
44032024,136353,Interaction with algorithm,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 19:14:00,44.83
45032024,136353,Mapping code using a flowchart and pseudocode,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 19:14:00,44.83
46032024,136450,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.22,2024-02-25 22:24:00,2024-02-27 21:56:00,47.53
47032024,136450,Problem-solving,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 21:56:00,47.53
48032024,136450,Writing coding effectively,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 21:56:00,47.53
49032024,136450,Interaction with algorithm,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 21:56:00,47.53
50032024,136450,Mapping code using a flowchart and pseudocode,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 21:56:00,47.53
51032024,136480,Logical Reasoning and Objectivity (critical thinking),1,0.0,0.55,2024-02-25 22:24:00,2024-02-27 21:54:00,47.5
52032024,136480,Problem-solving,1,0.0,0.55,2024-02-25 22:24:00,2024-02-27 21:54:00,47.5
53032024,136480,Writing coding effectively,1,0.0,0.55,2024-02-25 22:24:00,2024-02-27 21:54:00,47.5
54032024,136480,Interaction with algorithm,1,0.0,0.55,2024-02-25 22:24:00,2024-02-27 21:54:00,47.5
55032024,136480,Mapping code using a flowchart and pseudocode,1,0.0,0.55,2024-02-25 22:24:00,2024-02-27 21:54:00,47.5
56032024,136565,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.82,2024-02-25 22:24:00,2024-02-27 21:29:00,47.09
57032024,136565,Problem-solving,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 21:29:00,47.09
58032024,136565,Writing coding effectively,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 21:29:00,47.09
59032024,136565,Interaction with algorithm,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 21:29:00,47.09
60032024,136565,Mapping code using a flowchart and pseudocode,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 21:29:00,47.09
61032024,136629,Logical Reasoning and Objectivity (critical thinking),1,0.033,0.1,2024-02-25 22:24:00,2024-02-27 20:28:00,46.07
62032024,136629,Problem-solving,1,0.033,0.1,2024-02-25 22:24:00,2024-02-27 20:28:00,46.07
63032024,136629,Writing coding effectively,1,0.033,0.1,2024-02-25 22:24:00,2024-02-27 20:28:00,46.07
64032024,136629,Interaction with algorithm,1,0.033,0.1,2024-02-25 22:24:00,2024-02-27 20:28:00,46.07
65032024,136629,Mapping code using a flowchart and pseudocode,1,0.033,0.1,2024-02-25 22:24:00,2024-02-27 20:28:00,46.07
66032024,136912,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.54,2024-02-25 22:24:00,2024-02-27 21:38:00,47.23
67032024,136912,Problem-solving,1,0.0,0.54,2024-02-25 22:24:00,2024-02-27 21:38:00,47.23
68032024,136912,Writing coding effectively,1,0.0,0.54,2024-02-25 22:24:00,2024-02-27 21:38:00,47.23
69032024,136912,Interaction with algorithm,1,0.0,0.54,2024-02-25 22:24:00,2024-02-27 21:38:00,47.23
70032024,136912,Mapping code using a flowchart and pseudocode,0,0.0,0.54,2024-02-25 22:24:00,2024-02-27 21:38:00,47.23
71032024,136943,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.29,2024-02-25 22:24:00,2024-02-27 21:24:00,46.99
72032024,136943,Problem-solving,1,0.033,0.29,2024-02-25 22:24:00,2024-02-27 21:24:00,46.99
73032024,136943,Writing coding effectively,1,0.033,0.29,2024-02-25 22:24:00,2024-02-27 21:24:00,46.99
74032024,136943,Interaction with algorithm,1,0.033,0.29,2024-02-25 22:24:00,2024-02-27 21:24:00,46.99
75032024,136943,Mapping code using a flowchart and pseudocode,1,0.033,0.29,2024-02-25 22:24:00,2024-02-27 21:24:00,46.99
76032024,137146,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.55,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55
77032024,137146,Problem-solving,1,0.067,0.55,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55
78032024,137146,Writing coding effectively,1,0.067,0.55,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55
79032024,137146,Interaction with algorithm,1,0.067,0.55,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55
80032024,137146,Mapping code using a flowchart and pseudocode,0,0.067,0.55,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55
81032024,137171,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.3,2024-02-25 22:24:00,2024-02-27 21:55:00,47.51
82032024,137171,Problem-solving,1,0.033,0.3,2024-02-25 22:24:00,2024-02-27 21:55:00,47.51
83032024,137171,Writing coding effectively,1,0.033,0.3,2024-02-25 22:24:00,2024-02-27 21:55:00,47.51
84032024,137171,Interaction with algorithm,1,0.033,0.3,2024-02-25 22:24:00,2024-02-27 21:55:00,47.51
85032024,137171,Mapping code using a flowchart and pseudocode,0,0.033,0.3,2024-02-25 22:24:00,2024-02-27 21:55:00,47.51
86032024,137238,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.25,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55
87032024,137238,Problem-solving,1,0.067,0.25,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55
88032024,137238,Writing coding effectively,1,0.067,0.25,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55
89032024,137238,Interaction with algorithm,1,0.067,0.25,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55
90032024,137238,Mapping code using a flowchart and pseudocode,1,0.067,0.25,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55
91032024,137259,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.08,2024-02-25 22:24:00,2024-02-27 21:52:00,47.46
92032024,137259,Problem-solving,1,0.0,0.08,2024-02-25 22:24:00,2024-02-27 21:52:00,47.46
93032024,137259,Writing coding effectively,1,0.0,0.08,2024-02-25 22:24:00,2024-02-27 21:52:00,47.46
94032024,137259,Interaction with algorithm,1,0.0,0.08,2024-02-25 22:24:00,2024-02-27 21:52:00,47.46
95032024,137259,Mapping code using a flowchart and pseudocode,0,0.0,0.08,2024-02-25 22:24:00,2024-02-27 21:52:00,47.46
96032024,137407,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.19,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05
97032024,137407,Problem-solving,0,0.033,0.19,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05
98032024,137407,Writing coding effectively,1,0.033,0.19,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05
99032024,137407,Interaction with algorithm,1,0.033,0.19,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05
100032024,137407,Mapping code using a flowchart and pseudocode,0,0.033,0.19,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05
101032024,137472,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.15,2024-02-25 22:24:00,2024-02-27 21:12:00,46.8
102032024,137472,Problem-solving,1,0.067,0.15,2024-02-25 22:24:00,2024-02-27 21:12:00,46.8
103032024,137472,Writing coding effectively,1,0.067,0.15,2024-02-25 22:24:00,2024-02-27 21:12:00,46.8
104032024,137472,Interaction with algorithm,1,0.067,0.15,2024-02-25 22:24:00,2024-02-27 21:12:00,46.8
105032024,137472,Mapping code using a flowchart and pseudocode,0,0.067,0.15,2024-02-25 22:24:00,2024-02-27 21:12:00,46.8
106032024,137620,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.61,2024-02-25 22:24:00,2024-02-27 19:01:00,44.61
107032024,137620,Problem-solving,1,0.0,0.61,2024-02-25 22:24:00,2024-02-27 19:01:00,44.61
108032024,137620,Writing coding effectively,1,0.0,0.61,2024-02-25 22:24:00,2024-02-27 19:01:00,44.61
109032024,137620,Interaction with algorithm,1,0.0,0.61,2024-02-25 22:24:00,2024-02-27 19:01:00,44.61
110032024,137620,Mapping code using a flowchart and pseudocode,1,0.0,0.61,2024-02-25 22:24:00,2024-02-27 19:01:00,44.61
111032024,137974,Logical Reasoning and Objectivity (critical thinking),0,0.1,0.4,2024-02-25 22:24:00,2024-02-27 19:27:00,45.05
112032024,137974,Problem-solving,1,0.1,0.4,2024-02-25 22:24:00,2024-02-27 19:27:00,45.05
113032024,137974,Writing coding effectively,1,0.1,0.4,2024-02-25 22:24:00,2024-02-27 19:27:00,45.05
114032024,137974,Interaction with algorithm,1,0.1,0.4,2024-02-25 22:24:00,2024-02-27 19:27:00,45.05
115032024,137974,Mapping code using a flowchart and pseudocode,1,0.1,0.4,2024-02-25 22:24:00,2024-02-27 19:27:00,45.05
116032024,138157,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.34,2024-02-25 22:24:00,2024-02-27 19:25:00,45.02
117032024,138157,Problem-solving,1,0.033,0.34,2024-02-25 22:24:00,2024-02-27 19:25:00,45.02
118032024,138157,Writing coding effectively,1,0.033,0.34,2024-02-25 22:24:00,2024-02-27 19:25:00,45.02
119032024,138157,Interaction with algorithm,1,0.033,0.34,2024-02-25 22:24:00,2024-02-27 19:25:00,45.02
120032024,138157,Mapping code using a flowchart and pseudocode,1,0.033,0.34,2024-02-25 22:24:00,2024-02-27 19:25:00,45.02
121032024,138200,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.58,2024-02-25 22:24:00,2024-02-27 21:00:00,46.61
122032024,138200,Problem-solving,0,0.033,0.58,2024-02-25 22:24:00,2024-02-27 21:00:00,46.61
123032024,138200,Writing coding effectively,1,0.033,0.58,2024-02-25 22:24:00,2024-02-27 21:00:00,46.61
