student_code,Student_id,Skill,Corrects,absence_rate,AI detection 
16032024,130858,Logical Reasoning and Objectivity (critical thinking),0,3.33,84%
17032024,130858,Problem-solving,0,3.33,84%
18032024,130858,Writing coding effectively,0,3.33,84%
19032024,130858,Interaction with algorithm,0,3.33,84%
20032024,130858,Mapping code using a flowchart and pseudocode,0,3.33,84%
21032024,133091,Logical Reasoning and Objectivity (critical thinking),0,0.0,25%
22032024,133091,Problem-solving,1,0.0,25%
23032024,133091,Writing coding effectively,1,0.0,25%
24032024,133091,Interaction with algorithm,1,0.0,25%
25032024,133091,Mapping code using a flowchart and pseudocode,1,0.0,25%
26032024,133311,Logical Reasoning and Objectivity (critical thinking),0,3.33,22%
27032024,133311,Problem-solving,1,3.33,22%
28032024,133311,Writing coding effectively,1,3.33,22%
29032024,133311,Interaction with algorithm,1,3.33,22%
30032024,133311,Mapping code using a flowchart and pseudocode,1,3.33,22%
31032024,133438,Logical Reasoning and Objectivity (critical thinking),0,0.0,15%
32032024,133438,Problem-solving,0,0.0,15%
33032024,133438,Writing coding effectively,1,0.0,15%
34032024,133438,Interaction with algorithm,1,0.0,15%
35032024,133438,Mapping code using a flowchart and pseudocode,1,0.0,15%
36032024,134658,Logical Reasoning and Objectivity (critical thinking),0,3.33,22%
37032024,134658,Problem-solving,0,3.33,22%
38032024,134658,Writing coding effectively,1,3.33,22%
39032024,134658,Interaction with algorithm,1,3.33,22%
40032024,134658,Mapping code using a flowchart and pseudocode,1,3.33,22%
41032024,136353,Logical Reasoning and Objectivity (critical thinking),0,6.67,82%
42032024,136353,Problem-solving,1,6.67,82%
43032024,136353,Writing coding effectively,1,6.67,82%
44032024,136353,Interaction with algorithm,1,6.67,82%
45032024,136353,Mapping code using a flowchart and pseudocode,1,6.67,82%
46032024,136450,Logical Reasoning and Objectivity (critical thinking),0,3.33,22%
47032024,136450,Problem-solving,1,3.33,22%
48032024,136450,Writing coding effectively,1,3.33,22%
49032024,136450,Interaction with algorithm,1,3.33,22%
50032024,136450,Mapping code using a flowchart and pseudocode,1,3.33,22%
51032024,136480,Logical Reasoning and Objectivity (critical thinking),1,0.0,55%
52032024,136480,Problem-solving,1,0.0,55%
53032024,136480,Writing coding effectively,1,0.0,55%
54032024,136480,Interaction with algorithm,1,0.0,55%
55032024,136480,Mapping code using a flowchart and pseudocode,1,0.0,55%
56032024,136565,Logical Reasoning and Objectivity (critical thinking),0,6.67,82%
57032024,136565,Problem-solving,1,6.67,82%
58032024,136565,Writing coding effectively,1,6.67,82%
59032024,136565,Interaction with algorithm,1,6.67,82%
60032024,136565,Mapping code using a flowchart and pseudocode,1,6.67,82%
61032024,136629,Logical Reasoning and Objectivity (critical thinking),1,3.33,10%
62032024,136629,Problem-solving,1,3.33,10%
63032024,136629,Writing coding effectively,1,3.33,10%
64032024,136629,Interaction with algorithm,1,3.33,10%
65032024,136629,Mapping code using a flowchart and pseudocode,1,3.33,10%
66032024,136912,Logical Reasoning and Objectivity (critical thinking),0,0.0,54%
67032024,136912,Problem-solving,1,0.0,54%
68032024,136912,Writing coding effectively,1,0.0,54%
69032024,136912,Interaction with algorithm,1,0.0,54%
70032024,136912,Mapping code using a flowchart and pseudocode,0,0.0,54%
71032024,136943,Logical Reasoning and Objectivity (critical thinking),0,3.33,29%
72032024,136943,Problem-solving,1,3.33,29%
73032024,136943,Writing coding effectively,1,3.33,29%
74032024,136943,Interaction with algorithm,1,3.33,29%
75032024,136943,Mapping code using a flowchart and pseudocode,1,3.33,29%
76032024,137146,Logical Reasoning and Objectivity (critical thinking),0,6.67,55%
77032024,137146,Problem-solving,1,6.67,55%
78032024,137146,Writing coding effectively,1,6.67,55%
79032024,137146,Interaction with algorithm,1,6.67,55%
80032024,137146,Mapping code using a flowchart and pseudocode,0,6.67,55%
81032024,137171,Logical Reasoning and Objectivity (critical thinking),0,3.33,30%
82032024,137171,Problem-solving,1,3.33,30%
83032024,137171,Writing coding effectively,1,3.33,30%
84032024,137171,Interaction with algorithm,1,3.33,30%
